date,area_number,highest_group_number,changed
06/24/11,097,02,
06/24/11,098,02,
06/24/11,099,02,
06/24/11,100,02,
06/24/11,101,02,
06/24/11,102,02,
06/24/11,103,02,x
06/24/11,104,02,x
06/24/11,105,02,x
06/24/11,106,98,
06/24/11,107,98,
06/24/11,108,98,
06/24/11,109,98,
06/24/11,110,98,
06/24/11,111,98,
06/24/11,112,98,
06/24/11,113,98,
06/24/11,114,98,
06/24/11,115,98,
06/24/11,116,98,
06/24/11,117,98,
06/24/11,118,98,
06/24/11,119,98,
06/24/11,120,98,
06/24/11,121,98,
06/24/11,122,98,
06/24/11,123,98,
06/24/11,124,98,
06/24/11,125,98,
06/24/11,126,98,
06/24/11,127,98,
06/24/11,128,98,
06/24/11,129,98,
06/24/11,130,98,
06/24/11,131,98,
06/24/11,132,98,
06/24/11,133,98,
06/24/11,134,98,
06/24/11,135,25,
06/24/11,136,25,
06/24/11,137,25,
06/24/11,138,25,x
06/24/11,139,23,
06/24/11,140,23,
06/24/11,141,23,
06/24/11,142,23,
06/24/11,143,23,
06/24/11,144,23,
06/24/11,145,23,
06/24/11,146,23,
06/24/11,147,23,
06/24/11,148,23,
06/24/11,149,23,
06/24/11,150,23,
06/24/11,151,23,
06/24/11,152,23,
06/24/11,153,23,
06/24/11,154,23,
06/24/11,155,23,
06/24/11,156,23,
06/24/11,157,23,
06/24/11,158,23,
06/24/11,159,86,
06/24/11,160,86,
06/24/11,161,86,
06/24/11,162,86,
06/24/11,163,86,
06/24/11,164,86,
06/24/11,165,86,
06/24/11,166,86,
06/24/11,167,86,
06/24/11,168,86,
06/24/11,169,86,
06/24/11,170,86,
06/24/11,171,86,
06/24/11,172,86,
06/24/11,173,86,
06/24/11,174,86,
06/24/11,175,86,
06/24/11,176,86,
06/24/11,177,86,
06/24/11,178,86,
06/24/11,179,86,
06/24/11,180,86,
06/24/11,181,86,
06/24/11,182,86,
06/24/11,183,86,
06/24/11,184,86,
06/24/11,185,86,
06/24/11,186,86,
06/24/11,187,86,
06/24/11,188,86,
06/24/11,189,86,
06/24/11,190,86,
06/24/11,191,86,
06/24/11,192,86,
06/24/11,193,86,
06/24/11,194,86,
06/24/11,195,86,x
06/24/11,196,84,
06/24/11,197,84,
06/24/11,198,84,
06/24/11,199,84,
06/24/11,200,84,
06/24/11,201,84,
06/24/11,202,84,
06/24/11,203,84,
06/24/11,204,84,
06/24/11,205,84,
06/24/11,206,84,
06/24/11,207,84,
06/24/11,208,84,
06/24/11,209,84,
06/24/11,210,84,
06/24/11,211,84,
06/24/11,212,91,
06/24/11,213,91,
06/24/11,214,91,
06/24/11,215,91,x
06/24/11,216,89,
06/24/11,217,89,
06/24/11,218,89,
06/24/11,219,89,
06/24/11,220,89,
06/24/11,221,13,
06/24/11,222,11,
06/24/11,223,99,
06/24/11,224,99,
06/24/11,225,99,
06/24/11,226,99,
06/24/11,227,99,
06/24/11,228,99,
06/24/11,229,99,
06/24/11,230,99,
06/24/11,231,99,
06/24/11,232,57,
06/24/11,233,57,
06/24/11,234,57,
06/24/11,235,57,x
06/24/11,236,55,
06/24/11,237,99,
06/24/11,238,99,
06/24/11,239,99,
06/24/11,240,99,
06/24/11,241,99,
06/24/11,242,99,
06/24/11,243,99,
06/24/11,244,99,
06/24/11,245,99,
06/24/11,246,99,
06/24/11,247,99,
06/24/11,248,99,
06/24/11,249,99,
06/24/11,250,99,
06/24/11,251,99,
06/24/11,252,99,
06/24/11,253,99,
06/24/11,254,99,
06/24/11,255,99,
06/24/11,256,99,
06/24/11,257,99,
06/24/11,258,99,
06/24/11,259,99,
06/24/11,260,99,
06/24/11,261,99,
06/24/11,262,99,
06/24/11,263,99,
06/24/11,264,99,
06/24/11,265,99,
06/24/11,266,99,
06/24/11,267,99,
06/24/11,268,17,
06/24/11,269,17,
06/24/11,270,17,
06/24/11,271,17,
06/24/11,272,17,
06/24/11,273,17,
06/24/11,274,17,
06/24/11,275,17,
06/24/11,276,17,
06/24/11,277,17,
06/24/11,278,17,x
06/24/11,279,15,
06/24/11,280,15,
06/24/11,281,15,
06/24/11,282,15,
06/24/11,283,15,
06/24/11,284,15,
06/24/11,285,15,
06/24/11,286,15,
06/24/11,287,15,
06/24/11,288,15,
06/24/11,289,15,
06/24/11,290,15,
06/24/11,291,15,
06/24/11,292,15,
06/24/11,293,15,
06/24/11,294,15,
06/24/11,295,15,
06/24/11,296,15,
06/24/11,297,15,
06/24/11,298,15,
06/24/11,299,15,
06/24/11,300,15,
06/24/11,301,15,
06/24/11,302,15,
06/24/11,303,37,
06/24/11,304,37,
06/24/11,305,37,
06/24/11,306,37,
06/24/11,307,37,
06/24/11,308,37,
06/24/11,309,37,
06/24/11,310,37,
06/24/11,311,35,
06/24/11,312,35,
06/24/11,313,35,
06/24/11,314,35,
06/24/11,315,35,
06/24/11,316,35,
06/24/11,317,35,
06/24/11,318,11,
06/24/11,319,11,
06/24/11,320,11,
06/24/11,321,11,
06/24/11,322,11,
06/24/11,323,11,
06/24/11,324,11,
06/24/11,325,11,
06/24/11,326,11,
06/24/11,327,11,
06/24/11,328,11,
06/24/11,329,11,
06/24/11,330,11,
06/24/11,331,11,
06/24/11,332,11,
06/24/11,333,11,
06/24/11,334,11,
06/24/11,335,11,
06/24/11,336,11,
06/24/11,337,11,
06/24/11,338,11,
06/24/11,339,11,
06/24/11,340,11,
06/24/11,341,11,
06/24/11,342,11,
06/24/11,343,11,
06/24/11,344,11,
06/24/11,345,11,x
06/24/11,346,08,
06/24/11,347,08,
06/24/11,348,08,
06/24/11,349,08,
06/24/11,350,08,
06/24/11,351,08,
06/24/11,352,08,
06/24/11,353,08,
06/24/11,354,08,
06/24/11,355,08,
06/24/11,356,08,
06/24/11,357,08,
06/24/11,358,08,
06/24/11,359,08,
06/24/11,360,08,
06/24/11,361,08,
06/24/11,362,39,
06/24/11,363,39,
06/24/11,364,39,
06/24/11,365,39,
06/24/11,366,39,
06/24/11,367,39,
06/24/11,368,39,
06/24/11,369,39,x
06/24/11,370,37,
06/24/11,371,37,
06/24/11,372,37,
06/24/11,373,37,
06/24/11,374,37,
06/24/11,375,37,
06/24/11,376,37,
06/24/11,377,37,
06/24/11,378,37,
06/24/11,379,37,
06/24/11,380,37,
06/24/11,381,37,
06/24/11,382,37,
06/24/11,383,37,
06/24/11,384,37,
06/24/11,385,37,
06/24/11,386,37,
06/24/11,387,33,
06/24/11,388,33,
06/24/11,389,33,
06/24/11,390,33,
06/24/11,391,33,
06/24/11,392,33,
06/24/11,393,33,
06/24/11,394,33,
06/24/11,395,33,
06/24/11,396,33,
06/24/11,397,33,
06/24/11,398,31,
06/24/11,399,31,
06/24/11,400,73,
06/24/11,401,73,
06/24/11,402,73,
06/24/11,403,73,
06/24/11,404,73,
06/24/11,405,73,
06/24/11,406,73,
06/24/11,407,73,
06/24/11,408,99,
06/24/11,409,99,
06/24/11,410,99,
06/24/11,411,99,
06/24/11,412,99,
06/24/11,413,99,
06/24/11,414,99,
06/24/11,415,99,
06/24/11,416,67,
06/24/11,417,67,
06/24/11,418,67,
06/24/11,419,67,
06/24/11,420,67,
06/24/11,421,67,
06/24/11,422,67,
06/24/11,423,67,
06/24/11,424,65,
06/24/11,425,99,
06/24/11,426,99,
06/24/11,427,99,
06/24/11,428,99,
06/24/11,429,99,
06/24/11,430,99,
06/24/11,431,99,
06/24/11,432,99,
06/24/11,433,99,
06/24/11,434,99,
06/24/11,435,99,
06/24/11,436,99,
06/24/11,437,99,
06/24/11,438,99,
06/24/11,439,99,
06/24/11,440,29,
06/24/11,441,29,
06/24/11,442,29,x
06/24/11,443,27,
06/24/11,444,27,
06/24/11,445,27,
06/24/11,446,27,
06/24/11,447,27,
06/24/11,448,27,
06/24/11,449,99,
06/24/11,450,99,
06/24/11,451,99,
06/24/11,452,99,
06/24/11,453,99,
06/24/11,454,99,
06/24/11,455,99,
06/24/11,456,99,
06/24/11,457,99,
06/24/11,458,99,
06/24/11,459,99,
06/24/11,460,99,
06/24/11,461,99,
06/24/11,462,99,
06/24/11,463,99,
06/24/11,464,99,
06/24/11,465,99,
06/24/11,466,99,
06/24/11,467,99,
06/24/11,468,57,
06/24/11,469,57,
06/24/11,470,57,
06/24/11,471,57,
06/24/11,472,57,x
06/24/11,473,55,
06/24/11,474,55,
06/24/11,475,55,
06/24/11,476,55,
06/24/11,477,55,
06/24/11,478,43,x
06/24/11,479,41,
06/24/11,480,41,
06/24/11,481,41,
06/24/11,482,41,
06/24/11,483,41,
06/24/11,484,41,
06/24/11,485,41,
06/24/11,486,29,
06/24/11,487,29,
06/24/11,488,29,
06/24/11,489,29,
06/24/11,490,29,
06/24/11,491,29,
06/24/11,492,29,
06/24/11,493,29,
06/24/11,494,29,
06/24/11,495,29,
06/24/11,496,29,
06/24/11,497,29,
06/24/11,498,29,
06/24/11,499,29,
06/24/11,500,29,x
06/24/11,501,37,
06/24/11,502,37,
06/24/11,503,45,
06/24/11,504,45,
06/24/11,505,59,
06/24/11,506,57,
06/24/11,507,57,
06/24/11,508,57,
06/24/11,509,33,
06/24/11,510,33,
06/24/11,511,33,
06/24/11,512,33,x
06/24/11,513,31,
06/24/11,514,31,
06/24/11,515,31,
06/24/11,516,49,
06/24/11,517,49,
06/24/11,518,89,
06/24/11,519,87,
06/24/11,520,61,
06/24/11,521,99,
06/24/11,522,99,
06/24/11,523,99,
06/24/11,524,99,
06/24/11,525,99,
06/24/11,526,99,
06/24/11,527,99,
06/24/11,528,99,
06/24/11,529,99,
06/24/11,530,99,
06/24/11,531,71,
06/24/11,532,71,
06/24/11,533,71,
06/24/11,534,71,
06/24/11,535,71,
06/24/11,536,71,
06/24/11,537,71,
06/24/11,538,71,
06/24/11,539,71,x
06/24/11,540,83,
06/24/11,541,83,x
06/24/11,542,81,
06/24/11,543,81,
06/24/11,544,81,
06/24/11,545,99,
06/24/11,546,99,
06/24/11,547,99,
06/24/11,548,99,
06/24/11,549,99,
06/24/11,550,99,
06/24/11,551,99,
06/24/11,552,99,
06/24/11,553,99,
06/24/11,554,99,
06/24/11,555,99,
06/24/11,556,99,
06/24/11,557,99,
06/24/11,558,99,
06/24/11,559,99,
06/24/11,560,99,
06/24/11,561,99,
06/24/11,562,99,
06/24/11,563,99,
06/24/11,564,99,
06/24/11,565,99,
06/24/11,566,99,
06/24/11,567,99,
06/24/11,568,99,
06/24/11,569,99,
06/24/11,570,99,
06/24/11,571,99,
06/24/11,572,99,
06/24/11,573,99,
06/24/11,574,61,
06/24/11,575,99,
06/24/11,576,99,
06/24/11,577,53,
06/24/11,578,53,
06/24/11,579,53,
06/24/11,580,41,x
06/24/11,581,99,
06/24/11,582,99,
06/24/11,583,99,
06/24/11,584,99,
06/24/11,585,99,
06/24/11,586,67,
06/24/11,587,99,
06/24/11,588,09,
06/24/11,589,99,
06/24/11,590,99,
06/24/11,591,99,
06/24/11,592,99,
06/24/11,593,99,
06/24/11,594,99,
06/24/11,595,99,
06/24/11,596,94,x
06/24/11,597,92,
06/24/11,598,92,
06/24/11,599,92,
06/24/11,600,99,
06/24/11,601,99,
06/24/11,602,87,
06/24/11,603,87,
06/24/11,604,87,
06/24/11,605,87,
06/24/11,606,87,
06/24/11,607,87,
06/24/11,608,87,
06/24/11,609,87,
06/24/11,610,87,
06/24/11,611,87,
06/24/11,612,87,
06/24/11,613,87,
06/24/11,614,87,
06/24/11,615,87,x
06/24/11,616,87,x
06/24/11,617,87,x
06/24/11,618,87,x
06/24/11,619,87,x
06/24/11,620,85,
06/24/11,621,85,
06/24/11,622,85,
06/24/11,623,85,
06/24/11,624,85,
06/24/11,625,85,
06/24/11,626,85,
06/24/11,627,31,
06/24/11,628,31,
06/24/11,629,31,
06/24/11,630,31,
06/24/11,631,31,
06/24/11,632,31,
06/24/11,633,31,
06/24/11,634,31,x
06/24/11,635,31,x
06/24/11,636,31,x
06/24/11,637,29,
06/24/11,638,29,
06/24/11,639,29,
06/24/11,640,29,
06/24/11,641,29,
06/24/11,642,29,
06/24/11,643,29,
06/24/11,644,29,
06/24/11,645,29,
06/24/11,646,23,
06/24/11,647,21,
06/24/11,648,58,
06/24/11,649,56,
06/24/11,650,62,
06/24/11,651,62,
06/24/11,652,62,
06/24/11,653,60,
06/24/11,654,38,
06/24/11,655,36,
06/24/11,656,36,
06/24/11,657,36,
06/24/11,658,36,
06/24/11,659,24,
06/24/11,660,24,x
06/24/11,661,22,
06/24/11,662,22,
06/24/11,663,22,
06/24/11,664,22,
06/24/11,665,22,
06/24/11,667,48,
06/24/11,668,48,
06/24/11,669,48,
06/24/11,670,48,
06/24/11,671,48,
06/24/11,672,48,
06/24/11,673,48,
06/24/11,674,48,
06/24/11,675,48,x
06/24/11,676,22,
06/24/11,677,22,
06/24/11,678,22,x
06/24/11,679,20,
06/24/11,680,31,
06/24/11,681,24,
06/24/11,682,24,
06/24/11,683,24,
06/24/11,684,24,
06/24/11,685,24,
06/24/11,686,24,
06/24/11,687,24,
06/24/11,688,24,
06/24/11,689,24,x
06/24/11,690,22,
06/24/11,691,18,
06/24/11,692,18,x
06/24/11,693,16,
06/24/11,694,16,
06/24/11,695,16,
06/24/11,696,16,
06/24/11,697,16,
06/24/11,698,16,
06/24/11,699,16,
06/24/11,700,18,
06/24/11,701,18,
06/24/11,702,18,
06/24/11,703,18,
06/24/11,704,18,
06/24/11,705,18,
06/24/11,706,18,
06/24/11,707,18,
06/24/11,708,18,
06/24/11,709,18,
06/24/11,710,18,
06/24/11,711,18,
06/24/11,712,18,
06/24/11,713,18,
06/24/11,714,18,
06/24/11,715,18,
06/24/11,716,18,
06/24/11,717,18,
06/24/11,718,18,
06/24/11,719,18,
06/24/11,720,18,
06/24/11,721,18,
06/24/11,722,18,
06/24/11,723,18,
06/24/11,724,28,
06/24/11,725,18,
06/24/11,726,18,
06/24/11,727,10,
06/24/11,728,14,
06/24/11,729,28,
06/24/11,730,28,
06/24/11,731,28,
06/24/11,732,28,x
06/24/11,733,26,
06/24/11,750,20,
06/24/11,751,18,
06/24/11,752,09,
06/24/11,753,07,
06/24/11,754,07,
06/24/11,755,07,
06/24/11,756,12,
06/24/11,757,12,
06/24/11,758,12,
06/24/11,759,12,
06/24/11,760,12,
06/24/11,761,12,
06/24/11,762,12,
06/24/11,763,12,
06/24/11,764,29,x
06/24/11,765,27,
06/24/11,766,04,x
06/24/11,767,02,
06/24/11,768,02,
06/24/11,769,02,
06/24/11,770,02,
06/24/11,771,02,
06/24/11,772,02,x
06/01/11,001,11,
06/01/11,002,11,
06/01/11,003,08,
06/01/11,004,13,
06/01/11,005,11,
06/01/11,006,11,
06/01/11,007,11,
06/01/11,008,94,
06/01/11,009,92,
06/01/11,010,94,
06/01/11,011,94,
06/01/11,012,94,
06/01/11,013,94,
06/01/11,014,94,
06/01/11,015,94,
06/01/11,016,94,
06/01/11,017,94,
06/01/11,018,94,
06/01/11,019,94,
06/01/11,020,94,x
06/01/11,021,92,
06/01/11,022,92,
06/01/11,023,92,
06/01/11,024,92,
06/01/11,025,92,
06/01/11,026,92,
06/01/11,027,92,
06/01/11,028,92,
06/01/11,029,92,
06/01/11,030,92,
06/01/11,031,92,
06/01/11,032,92,
06/01/11,033,92,
06/01/11,034,92,
06/01/11,035,74,
06/01/11,036,74,
06/01/11,037,74,
06/01/11,038,74,
06/01/11,039,74,
06/01/11,040,15,
06/01/11,041,15,
06/01/11,042,15,
06/01/11,043,15,
06/01/11,044,15,
06/01/11,045,15,
06/01/11,046,15,
06/01/11,047,15,
06/01/11,048,15,
06/01/11,049,13,
06/01/11,050,02,
06/01/11,051,02,
06/01/11,052,02,
06/01/11,053,02,
06/01/11,054,02,
06/01/11,055,02,
06/01/11,056,02,
06/01/11,057,02,
06/01/11,058,02,
06/01/11,059,02,
06/01/11,060,02,
06/01/11,061,02,
06/01/11,062,02,
06/01/11,063,02,
06/01/11,064,02,
06/01/11,065,02,
06/01/11,066,02,
06/01/11,067,02,
06/01/11,068,02,
06/01/11,069,02,
06/01/11,070,02,
06/01/11,071,02,
06/01/11,072,02,
06/01/11,073,02,
06/01/11,074,02,
06/01/11,075,02,
06/01/11,076,02,
06/01/11,077,02,
06/01/11,078,02,
06/01/11,079,02,
06/01/11,080,02,
06/01/11,081,02,
06/01/11,082,02,
06/01/11,083,02,
06/01/11,084,02,
06/01/11,085,02,
06/01/11,086,02,
06/01/11,087,02,
06/01/11,088,02,
06/01/11,089,02,
06/01/11,090,02,
06/01/11,091,02,
06/01/11,092,02,
06/01/11,093,02,
06/01/11,094,02,
06/01/11,095,02,
06/01/11,096,02,
06/01/11,097,02,
06/01/11,098,02,
06/01/11,099,02,
06/01/11,100,02,x
06/01/11,101,02,x
06/01/11,102,02,x
06/01/11,103,98,
06/01/11,104,98,
06/01/11,105,98,
06/01/11,106,98,
06/01/11,107,98,
06/01/11,108,98,
06/01/11,109,98,
06/01/11,110,98,
06/01/11,111,98,
06/01/11,112,98,
06/01/11,113,98,
06/01/11,114,98,
06/01/11,115,98,
06/01/11,116,98,
06/01/11,117,98,
06/01/11,118,98,
06/01/11,119,98,
06/01/11,120,98,
06/01/11,121,98,
06/01/11,122,98,
06/01/11,123,98,
06/01/11,124,98,
06/01/11,125,98,
06/01/11,126,98,
06/01/11,127,98,
06/01/11,128,98,
06/01/11,129,98,
06/01/11,130,98,
06/01/11,131,98,
06/01/11,132,98,
06/01/11,133,98,
06/01/11,134,98,
06/01/11,135,25,
06/01/11,136,25,x
06/01/11,137,25,x
06/01/11,138,23,
06/01/11,139,23,
06/01/11,140,23,
06/01/11,141,23,
06/01/11,142,23,
06/01/11,143,23,
06/01/11,144,23,
06/01/11,145,23,
06/01/11,146,23,
06/01/11,147,23,
06/01/11,148,23,
06/01/11,149,23,
06/01/11,150,23,
06/01/11,151,23,
06/01/11,152,23,
06/01/11,153,23,
06/01/11,154,23,
06/01/11,155,23,
06/01/11,156,23,
06/01/11,157,23,
06/01/11,158,23,
06/01/11,159,86,
06/01/11,160,86,
06/01/11,161,86,
06/01/11,162,86,
06/01/11,163,86,
06/01/11,164,86,
06/01/11,165,86,
06/01/11,166,86,
06/01/11,167,86,
06/01/11,168,86,
06/01/11,169,86,
06/01/11,170,86,
06/01/11,171,86,
06/01/11,172,86,
06/01/11,173,86,
06/01/11,174,86,
06/01/11,175,86,
06/01/11,176,86,
06/01/11,177,86,
06/01/11,178,86,
06/01/11,179,86,
06/01/11,180,86,
06/01/11,181,86,
06/01/11,182,86,
06/01/11,183,86,
06/01/11,184,86,
06/01/11,185,86,
06/01/11,186,86,
06/01/11,187,86,
06/01/11,188,86,
06/01/11,189,86,
06/01/11,190,86,
06/01/11,191,86,
06/01/11,192,86,
06/01/11,193,86,
06/01/11,194,86,x
06/01/11,195,84,
06/01/11,196,84,
06/01/11,197,84,
06/01/11,198,84,
06/01/11,199,84,
06/01/11,200,84,
06/01/11,201,84,
06/01/11,202,84,
06/01/11,203,84,
06/01/11,204,84,
06/01/11,205,84,
06/01/11,206,84,
06/01/11,207,84,
06/01/11,208,84,
06/01/11,209,84,
06/01/11,210,84,
06/01/11,211,84,
06/01/11,212,91,
06/01/11,213,91,
06/01/11,214,91,x
06/01/11,215,89,
06/01/11,216,89,
06/01/11,217,89,
06/01/11,218,89,
06/01/11,219,89,
06/01/11,220,89,
06/01/11,221,13,
06/01/11,222,11,
06/01/11,223,99,
06/01/11,224,99,
06/01/11,225,99,
06/01/11,226,99,
06/01/11,227,99,
06/01/11,228,99,
06/01/11,229,99,
06/01/11,230,99,
06/01/11,231,99,
06/01/11,232,57,
06/01/11,233,57,
06/01/11,234,57,
06/01/11,235,55,
06/01/11,236,55,
06/01/11,237,99,
06/01/11,238,99,
06/01/11,239,99,
06/01/11,240,99,
06/01/11,241,99,
06/01/11,242,99,
06/01/11,243,99,
06/01/11,244,99,
06/01/11,245,99,
06/01/11,246,99,
06/01/11,247,99,
06/01/11,248,99,
06/01/11,249,99,
06/01/11,250,99,
06/01/11,251,99,
06/01/11,252,99,
06/01/11,253,99,
06/01/11,254,99,
06/01/11,255,99,
06/01/11,256,99,
06/01/11,257,99,
06/01/11,258,99,
06/01/11,259,99,
06/01/11,260,99,
06/01/11,261,99,
06/01/11,262,99,
06/01/11,263,99,
06/01/11,264,99,
06/01/11,265,99,
06/01/11,266,99,
06/01/11,267,99,
06/01/11,268,17,
06/01/11,269,17,
06/01/11,270,17,
06/01/11,271,17,
06/01/11,272,17,
06/01/11,273,17,
06/01/11,274,17,
06/01/11,275,17,
06/01/11,276,17,
06/01/11,277,17,x
06/01/11,278,15,
06/01/11,279,15,
06/01/11,280,15,
06/01/11,281,15,
06/01/11,282,15,
06/01/11,283,15,
06/01/11,284,15,
06/01/11,285,15,
06/01/11,286,15,
06/01/11,287,15,
06/01/11,288,15,
06/01/11,289,15,
06/01/11,290,15,
06/01/11,291,15,
06/01/11,292,15,
06/01/11,293,15,
06/01/11,294,15,
06/01/11,295,15,
06/01/11,296,15,
06/01/11,297,15,
06/01/11,298,15,
06/01/11,299,15,
06/01/11,300,15,
06/01/11,301,15,
06/01/11,302,15,
06/01/11,303,37,
06/01/11,304,37,
06/01/11,305,37,
06/01/11,306,37,
06/01/11,307,37,
06/01/11,308,37,
06/01/11,309,37,
06/01/11,310,37,x
06/01/11,311,35,
06/01/11,312,35,
06/01/11,313,35,
06/01/11,314,35,
06/01/11,315,35,
06/01/11,316,35,
06/01/11,317,35,
06/01/11,318,11,
06/01/11,319,11,
06/01/11,320,11,
06/01/11,321,11,
06/01/11,322,11,
06/01/11,323,11,
06/01/11,324,11,
06/01/11,325,11,
06/01/11,326,11,
06/01/11,327,11,
06/01/11,328,11,
06/01/11,329,11,
06/01/11,330,11,
06/01/11,331,11,
06/01/11,332,11,
06/01/11,333,11,
06/01/11,334,11,
06/01/11,335,11,
06/01/11,336,11,
06/01/11,337,11,
06/01/11,338,11,
06/01/11,339,11,
06/01/11,340,11,
06/01/11,341,11,
06/01/11,342,11,
06/01/11,343,11,x
06/01/11,344,11,x
06/01/11,345,08,
06/01/11,346,08,
06/01/11,347,08,
06/01/11,348,08,
06/01/11,349,08,
06/01/11,350,08,
06/01/11,351,08,
06/01/11,352,08,
06/01/11,353,08,
06/01/11,354,08,
06/01/11,355,08,
06/01/11,356,08,
06/01/11,357,08,
06/01/11,358,08,
06/01/11,359,08,
06/01/11,360,08,
06/01/11,361,08,
06/01/11,362,39,
06/01/11,363,39,
06/01/11,364,39,
06/01/11,365,39,
06/01/11,366,39,
06/01/11,367,39,
06/01/11,368,39,x
06/01/11,369,37,
06/01/11,370,37,
06/01/11,371,37,
06/01/11,372,37,
06/01/11,373,37,
06/01/11,374,37,
06/01/11,375,37,
06/01/11,376,37,
06/01/11,377,37,
06/01/11,378,37,
06/01/11,379,37,
06/01/11,380,37,
06/01/11,381,37,
06/01/11,382,37,
06/01/11,383,37,
06/01/11,384,37,
06/01/11,385,37,
06/01/11,386,37,
06/01/11,387,33,
06/01/11,388,33,
06/01/11,389,33,
06/01/11,390,33,
06/01/11,391,33,
06/01/11,392,33,
06/01/11,393,33,
06/01/11,394,33,
06/01/11,395,33,
06/01/11,396,33,
06/01/11,397,33,x
06/01/11,398,31,
06/01/11,399,31,
06/01/11,400,73,
06/01/11,401,73,
06/01/11,402,73,
06/01/11,403,73,
06/01/11,404,73,
06/01/11,405,73,
06/01/11,406,73,
06/01/11,407,73,
06/01/11,408,99,
06/01/11,409,99,
06/01/11,410,99,
06/01/11,411,99,
06/01/11,412,99,
06/01/11,413,99,
06/01/11,414,99,
06/01/11,415,99,
06/01/11,416,67,
06/01/11,417,67,
06/01/11,418,67,
06/01/11,419,67,
06/01/11,420,67,
06/01/11,421,67,
06/01/11,422,67,
06/01/11,423,67,
06/01/11,424,65,
06/01/11,425,99,
06/01/11,426,99,
06/01/11,427,99,
06/01/11,428,99,
06/01/11,429,99,
06/01/11,430,99,
06/01/11,431,99,
06/01/11,432,99,
06/01/11,433,99,
06/01/11,434,99,
06/01/11,435,99,
06/01/11,436,99,
06/01/11,437,99,
06/01/11,438,99,
06/01/11,439,99,
06/01/11,440,29,
06/01/11,441,29,
06/01/11,442,27,
06/01/11,443,27,
06/01/11,444,27,
06/01/11,445,27,
06/01/11,446,27,
06/01/11,447,27,
06/01/11,448,27,
06/01/11,449,99,
06/01/11,450,99,
06/01/11,451,99,
06/01/11,452,99,
06/01/11,453,99,
06/01/11,454,99,
06/01/11,455,99,
06/01/11,456,99,
06/01/11,457,99,
06/01/11,458,99,
06/01/11,459,99,
06/01/11,460,99,
06/01/11,461,99,
06/01/11,462,99,
06/01/11,463,99,
06/01/11,464,99,
06/01/11,465,99,
06/01/11,466,99,
06/01/11,467,99,
06/01/11,468,57,
06/01/11,469,57,
06/01/11,470,57,
06/01/11,471,57,
06/01/11,472,55,
06/01/11,473,55,
06/01/11,474,55,
06/01/11,475,55,
06/01/11,476,55,
06/01/11,477,55,
06/01/11,478,41,
06/01/11,479,41,
06/01/11,480,41,
06/01/11,481,41,
06/01/11,482,41,
06/01/11,483,41,
06/01/11,484,41,
06/01/11,485,41,
06/01/11,486,29,
06/01/11,487,29,
06/01/11,488,29,
06/01/11,489,29,
06/01/11,490,29,
06/01/11,491,29,
06/01/11,492,29,
06/01/11,493,29,
06/01/11,494,29,
06/01/11,495,29,
06/01/11,496,29,
06/01/11,497,29,
06/01/11,498,29,
06/01/11,499,29,
06/01/11,500,27,
06/01/11,501,37,
06/01/11,502,37,
06/01/11,503,45,
06/01/11,504,45,
06/01/11,505,59,x
06/01/11,506,57,
06/01/11,507,57,
06/01/11,508,57,
06/01/11,509,33,
